id_pedido,id_cliente,sku_produto,data_compra,quantidade
PED000190,CLI07449,SKU050,2025-03-07,3
PED000191,CLI00832,SKU035,2025-03-07,3
PED000192,CLI00813,SKU031,2025-10-15,5
PED000193,CLI09971,SKU010,2025-10-27,2
PED000194,CLI08538,SKU033,2025-03-09,4
PED000195,CLI04653,SKU012,2025-11-09,4
PED000196,CLI08606,SKU038,2025-06-13,1
PED000197,CLI03365,SKU022,2025-09-23,5
PED000198,CLI00105,SKU009,2025-05-02,5
PED000199,CLI01476,SKU037,2025-03-28,1
PED000200,CLI02370,SKU010,2025-07-04,1
PED000201,CLI00017,SKU037,2025-01-16,2
PED000202,CLI05221,SKU003,2025-07-03,3
PED000203,CLI08907,SKU042,2025-05-29,4
PED000204,CLI02286,SKU003,2025-02-15,2
PED000205,CLI06696,SKU048,2025-06-18,1
PED000206,CLI06554,SKU014,2025-07-10,5
PED000207,CLI08940,SKU015,2025-09-08,1
PED000208,CLI02801,SKU032,2025-03-14,3
PED000209,CLI09363,SKU012,2025-09-21,4
PED000210,CLI08532,SKU007,2025-06-02,2
PED000211,CLI06746,SKU037,2025-08-26,1
PED000212,CLI00907,SKU047,2025-03-01,2
PED000213,CLI06916,SKU044,2025-01-05,1
PED000214,CLI03262,SKU041,2025-01-18,2
PED000215,CLI01408,SKU033,2025-12-21,2
PED000216,CLI05383,SKU001,2025-12-18,1
PED000217,CLI03718,SKU023,2025-12-22,2
PED000218,CLI01452,SKU012,2025-04-30,2
PED000219,CLI06675,SKU035,2025-10-16,4
PED000220,CLI07918,SKU033,2025-10-09,5
PED000221,CLI02937,SKU009,2025-03-04,5
PED000222,CLI07212,SKU028,2025-03-17,2
PED000223,CLI00619,SKU047,2025-04-29,3
PED000224,CLI09536,SKU013,2025-01-21,2
PED000225,CLI04563,SKU024,2025-08-08,4
PED000226,CLI08321,SKU015,2025-06-02,2
PED000227,CLI06152,SKU003,2025-11-04,5
PED000228,CLI08765,SKU003,2025-09-07,5
PED000229,CLI09290,SKU030,2025-01-28,3
PED000230,CLI01269,SKU024,2025-02-22,2
PED000231,CLI06217,SKU022,2025-08-29,4
PED000232,CLI07038,SKU016,2025-05-28,2
PED000233,CLI02244,SKU034,2025-05-11,3
PED000234,CLI01226,SKU026,2025-04-26,2
PED000235,CLI00635,SKU039,2025-02-16,1
PED000236,CLI04328,SKU024,2025-06-16,2
PED000237,CLI07133,SKU014,2025-12-19,3
PED000238,CLI02418,SKU008,2025-06-02,2
PED000239,CLI00367,SKU006,2025-10-22,4
PED000240,CLI02675,SKU016,2025-07-11,1
PED000241,CLI07486,SKU048,2025-11-26,1
PED000242,CLI03396,SKU021,2025-07-31,1
PED000243,CLI08470,SKU002,2025-03-30,2
PED000244,CLI03625,SKU050,2025-11-09,4
PED000245,CLI08867,SKU011,2025-11-09,2
PED000246,CLI00006,SKU006,2025-08-10,4
PED000247,CLI08388,SKU016,2025-04-12,2
PED000248,CLI03770,SKU020,2025-02-15,4
PED000249,CLI08455,SKU042,2025-03-12,4
PED000250,CLI03650,SKU035,2025-11-08,3
PED000251,CLI03798,SKU017,2025-07-27,1
PED000252,CLI07691,SKU020,2025-11-01,3
PED000253,CLI08140,SKU024,2025-01-20,2
PED000254,CLI09577,SKU017,2025-01-12,2
PED000255,CLI05304,SKU018,2025-05-11,3
PED000256,CLI09764,SKU002,2025-03-12,3
PED000257,CLI07756,SKU024,2025-11-08,4
PED000258,CLI02171,SKU036,2025-11-12,5
PED000259,CLI09248,SKU033,2025-10-16,3
PED000260,CLI04493,SKU023,2025-07-07,3
PED000261,CLI05510,SKU022,2025-07-10,5
PED000262,CLI02513,SKU029,2025-01-16,1
PED000263,CLI09417,SKU027,2025-01-06,2
PED000264,CLI02611,SKU034,2025-12-15,3
PED000265,CLI09434,SKU040,2025-07-19,4
PED000266,CLI09278,SKU047,2025-09-25,2
PED000267,CLI00511,SKU012,2025-05-01,3
PED000268,CLI09993,SKU027,2025-08-17,3
PED000269,CLI09586,SKU050,2025-02-25,2
PED000270,CLI01768,SKU032,2025-12-24,5
PED000271,CLI05315,SKU007,2025-02-14,3
PED000272,CLI06099,SKU035,2025-01-18,3
PED000273,CLI07003,SKU041,2025-12-28,1
PED000274,CLI01723,SKU010,2025-04-13,2
PED000275,CLI08955,SKU035,2025-02-10,5
PED000276,CLI05649,SKU020,2025-11-15,4
PED000277,CLI01555,SKU003,2025-05-13,5
PED000278,CLI03008,SKU030,2025-09-16,4
PED000279,CLI09236,SKU024,2025-01-21,5
PED000280,CLI03645,SKU006,2025-01-12,5
PED000281,CLI00518,SKU022,2025-03-29,5
PED000282,CLI04432,SKU007,2025-03-28,4
PED000283,CLI08302,SKU014,2025-06-24,5
PED000284,CLI02533,SKU021,2025-05-03,2
PED000285,CLI01761,SKU036,2025-07-12,4
PED000286,CLI09398,SKU031,2025-02-23,2
PED000287,CLI04100,SKU048,2025-11-03,2
PED000288,CLI08543,SKU043,2025-09-13,5
PED000289,CLI08196,SKU026,2025-08-31,4
PED000290,CLI04869,SKU044,2025-10-01,1
PED000291,CLI00114,SKU039,2025-07-17,1
PED000292,CLI09390,SKU049,2025-02-07,1
PED000293,CLI08222,SKU050,2025-09-25,2
PED000294,CLI04012,SKU025,2025-10-09,4
PED000295,CLI00436,SKU031,2025-08-07,3
PED000296,CLI04238,SKU017,2025-03-04,1
PED000297,CLI06469,SKU017,2025-05-07,2
PED000298,CLI06690,SKU005,2025-05-26,4
PED000299,CLI00179,SKU045,2025-02-19,1
PED000300,CLI07328,SKU015,2025-05-04,2
PED000301,CLI04588,SKU016,2025-06-13,1
PED000302,CLI06526,SKU048,2025-10-19,1
PED000303,CLI05248,SKU031,2025-12-15,2
PED000304,CLI02793,SKU029,2025-11-03,2
PED000305,CLI07994,SKU023,2025-09-03,5
PED000306,CLI05053,SKU033,2025-12-08,3
PED000307,CLI04584,SKU028,2025-09-10,2
PED000308,CLI08266,SKU038,2025-12-26,1
PED000309,CLI04533,SKU031,2025-08-20,3
PED000310,CLI02608,SKU004,2025-09-11,5
PED000311,CLI08853,SKU039,2025-02-03,2
PED000312,CLI05268,SKU020,2025-04-05,3
PED000313,CLI02270,SKU022,2025-03-04,4
PED000314,CLI08667,SKU029,2025-08-11,1
PED000315,CLI06225,SKU020,2025-03-15,5
PED000316,CLI01972,SKU028,2025-10-31,2
PED000317,CLI09978,SKU037,2025-04-18,1
PED000318,CLI06835,SKU016,2025-08-22,1
PED000319,CLI00528,SKU036,2025-10-21,3
PED000320,CLI09945,SKU021,2025-05-20,2
PED000321,CLI06573,SKU036,2025-02-04,5
PED000322,CLI04331,SKU011,2025-01-04,1
PED000323,CLI05322,SKU021,2025-07-23,1
PED000324,CLI00497,SKU031,2025-03-25,5
PED000325,CLI02115,SKU040,2025-11-03,3
PED000326,CLI07250,SKU020,2025-05-30,5
PED000327,CLI07290,SKU013,2025-05-21,2
PED000328,CLI07665,SKU021,2025-01-14,1
PED000329,CLI00700,SKU012,2025-04-04,5
PED000330,CLI08205,SKU044,2025-07-14,1
PED000331,CLI02644,SKU034,2025-09-20,3
PED000332,CLI02016,SKU011,2025-02-23,2
PED000333,CLI02000,SKU015,2025-02-16,2
PED000334,CLI07586,SKU008,2025-08-25,1
PED000335,CLI03910,SKU026,2025-09-14,2
PED000336,CLI05283,SKU002,2025-03-09,3
PED000337,CLI09536,SKU030,2025-11-24,4
PED000338,CLI04303,SKU006,2025-08-26,3
PED000339,CLI05589,SKU027,2025-06-12,3
PED000340,CLI01556,SKU043,2025-05-23,3
PED000341,CLI00220,SKU039,2025-11-17,2
PED000342,CLI05031,SKU019,2025-03-10,5
PED000343,CLI04604,SKU021,2026-01-01,2
PED000344,CLI05358,SKU004,2025-12-21,3
PED000345,CLI09003,SKU032,2025-01-13,2
PED000346,CLI04965,SKU048,2025-07-30,2
PED000347,CLI04706,SKU014,2025-02-22,5
PED000348,CLI01599,SKU035,2025-12-29,4
PED000349,CLI08723,SKU012,2025-04-19,4
PED000350,CLI01797,SKU034,2025-03-24,3
PED000351,CLI00693,SKU048,2025-03-18,2
PED000352,CLI02648,SKU029,2025-02-08,1
PED000353,CLI00811,SKU007,2025-07-27,5
PED000354,CLI05952,SKU007,2025-05-12,2
PED000355,CLI00712,SKU036,2025-08-15,4
PED000356,CLI01602,SKU023,2025-01-03,4
PED000357,CLI00929,SKU010,2025-12-15,2
PED000358,CLI05716,SKU021,2025-07-01,1
PED000359,CLI08995,SKU037,2025-04-25,2
PED000360,CLI09458,SKU012,2025-06-25,4
PED000361,CLI00628,SKU033,2025-06-05,5
PED000362,CLI00372,SKU033,2025-01-21,5
PED000363,CLI01236,SKU002,2025-11-20,4
PED000364,CLI04304,SKU015,2025-12-12,2
PED000365,CLI00650,SKU027,2025-02-16,3
PED000366,CLI06540,SKU050,2025-11-11,2
PED000367,CLI00727,SKU037,2025-09-29,2
PED000368,CLI07348,SKU040,2025-01-13,5
PED000369,CLI08874,SKU021,2025-07-29,2
PED000370,CLI06362,SKU017,2025-03-03,1
PED000371,CLI02285,SKU035,2025-08-22,4
PED000372,CLI09450,SKU019,2025-08-12,2
PED000373,CLI02851,SKU012,2025-03-09,3
PED000374,CLI05431,SKU041,2025-05-19,1
PED000375,CLI00859,SKU036,2025-01-20,2
PED000376,CLI08451,SKU025,2025-12-01,4
PED000377,CLI01553,SKU037,2025-11-03,2
PED000378,CLI04108,SKU009,2025-10-29,5
PED000379,CLI07507,SKU021,2025-05-03,2
PED000380,CLI05296,SKU043,2025-12-23,2
PED000381,CLI00266,SKU043,2025-08-05,4
PED000382,CLI00204,SKU042,2025-12-12,2
PED000383,CLI00953,SKU025,2025-07-29,3
PED000384,CLI01012,SKU027,2025-03-12,2
PED000385,CLI08511,SKU002,2025-11-20,2
PED000386,CLI02709,SKU041,2025-06-19,2
PED000387,CLI00997,SKU015,2025-08-02,1
PED000388,CLI06636,SKU026,2025-06-17,4
PED000389,CLI04503,SKU022,2025-12-03,3
PED000390,CLI07088,SKU001,2025-11-19,2
PED000391,CLI07017,SKU045,2025-03-10,1
PED000392,CLI05329,SKU026,2025-06-14,3
PED000393,CLI09203,SKU035,2025-11-26,4
PED000394,CLI08268,SKU043,2025-06-30,5
PED000395,CLI05722,SKU014,2025-04-20,3
PED000396,CLI09995,SKU050,2025-03-06,4
PED000397,CLI07693,SKU006,2025-07-11,3
PED000398,CLI02432,SKU007,2025-03-06,5
PED000399,CLI04499,SKU007,2025-12-06,4
PED000400,CLI05142,SKU046,2025-09-18,2
PED000401,CLI01036,SKU002,2025-06-25,4
PED000402,CLI01621,SKU006,2025-10-14,4
PED000403,CLI06903,SKU038,2025-04-06,2
PED000404,CLI01427,SKU033,2025-05-13,2
PED000405,CLI05586,SKU025,2025-02-06,5
PED000406,CLI08421,SKU002,2025-09-10,2
PED000407,CLI08147,SKU028,2025-03-20,2
PED000408,CLI03971,SKU005,2025-10-08,2
PED000409,CLI06442,SKU014,2025-01-22,2
PED000410,CLI07949,SKU010,2025-08-27,2
PED000411,CLI03989,SKU015,2025-07-07,2
PED000412,CLI04594,SKU015,2025-04-12,1
PED000413,CLI03319,SKU004,2025-04-29,5
PED000414,CLI08068,SKU021,2025-04-20,2
PED000415,CLI01187,SKU019,2025-06-21,5
PED000416,CLI09184,SKU039,2025-03-17,2
PED000417,CLI06875,SKU023,2025-01-21,2
PED000418,CLI06364,SKU032,2025-12-04,3
PED000419,CLI08769,SKU037,2025-09-08,2
PED000420,CLI07810,SKU009,2025-02-24,5
PED000421,CLI04784,SKU043,2025-05-07,5
PED000422,CLI00810,SKU026,2025-04-19,4
PED000423,CLI05859,SKU006,2025-11-04,2
PED000424,CLI03183,SKU003,2025-09-12,3
PED000425,CLI00980,SKU001,2025-12-01,2
PED000426,CLI00734,SKU004,2025-02-04,2
PED000427,CLI05977,SKU009,2025-01-17,5
PED000428,CLI06684,SKU020,2025-03-16,5
PED000429,CLI08342,SKU023,2025-12-31,2
PED000430,CLI08594,SKU040,2025-01-29,5
PED000431,CLI01193,SKU005,2025-07-11,5
PED000432,CLI07751,SKU011,2025-04-20,1
PED000433,CLI07674,SKU005,2025-12-13,3
PED000434,CLI08255,SKU033,2025-02-24,4
PED000435,CLI07186,SKU040,2025-09-27,3
PED000436,CLI04526,SKU023,2025-07-27,4
PED000437,CLI01665,SKU050,2025-11-11,5
PED000438,CLI01617,SKU027,2025-02-20,4
PED000439,CLI00666,SKU048,2025-08-04,2
PED000440,CLI09539,SKU008,2025-02-07,1
PED000441,CLI09991,SKU003,2025-01-12,3
PED000442,CLI06637,SKU038,2025-11-28,1
PED000443,CLI00582,SKU018,2025-05-05,4
PED000444,CLI06184,SKU007,2025-10-19,5
PED000445,CLI07150,SKU003,2025-11-02,5
PED000446,CLI03887,SKU026,2025-12-22,2
PED000447,CLI04245,SKU018,2025-01-02,4
PED000448,CLI04780,SKU037,2025-09-13,2
PED000449,CLI02714,SKU045,2025-07-04,2
PED000450,CLI01270,SKU045,2025-03-05,2
PED000451,CLI04678,SKU011,2025-08-28,1
PED000452,CLI06503,SKU011,2025-08-02,2
PED000453,CLI01518,SKU045,2025-03-26,2
PED000454,CLI00628,SKU005,2025-08-07,2
PED000455,CLI09585,SKU015,2025-11-14,1
PED000456,CLI01745,SKU018,2025-08-16,3
PED000457,CLI04349,SKU033,2025-07-26,4
PED000458,CLI04349,SKU002,2025-08-09,2
PED000459,CLI01941,SKU010,2025-08-10,1
PED000460,CLI01558,SKU012,2025-08-19,4
PED000461,CLI02932,SKU014,2025-05-20,3
PED000462,CLI07124,SKU034,2025-08-07,4
PED000463,CLI01555,SKU019,2025-02-22,3
PED000464,CLI06061,SKU028,2025-01-03,2
PED000465,CLI06986,SKU005,2025-10-05,3
PED000466,CLI01515,SKU032,2025-08-15,2
PED000467,CLI08920,SKU003,2025-04-12,5
PED000468,CLI04149,SKU005,2025-09-25,5
PED000469,CLI02862,SKU042,2025-10-23,4
PED000470,CLI03201,SKU008,2025-01-25,1
PED000471,CLI09687,SKU010,2025-10-02,2
PED000472,CLI09088,SKU026,2025-06-25,4
PED000473,CLI01546,SKU018,2025-03-14,2
PED000474,CLI08379,SKU020,2025-05-30,3
PED000475,CLI03420,SKU012,2025-06-03,5
PED000476,CLI08028,SKU050,2025-06-22,2
PED000477,CLI01475,SKU009,2025-12-09,2
PED000478,CLI09468,SKU015,2025-03-22,2
PED000479,CLI03999,SKU034,2025-02-21,2
PED000480,CLI07339,SKU020,2025-09-09,3
PED000481,CLI07016,SKU032,2025-07-01,2
PED000482,CLI09731,SKU014,2025-07-01,5
PED000483,CLI06395,SKU028,2025-09-27,2
PED000484,CLI07674,SKU020,2025-08-26,5
PED000485,CLI05354,SKU019,2025-09-17,4
PED000486,CLI04596,SKU034,2025-10-13,5
PED000487,CLI04636,SKU050,2025-12-10,5
PED000488,CLI07974,SKU027,2025-06-21,2
PED000489,CLI02047,SKU027,2025-08-08,3
PED000490,CLI06337,SKU022,2025-07-27,3
PED000491,CLI05609,SKU049,2025-08-26,1
PED000492,CLI03673,SKU035,2025-11-17,5
PED000493,CLI05980,SKU007,2025-02-16,4
PED000494,CLI04114,SKU034,2025-01-19,2
PED000495,CLI02753,SKU028,2025-03-30,2
PED000496,CLI07089,SKU002,2025-04-20,2
PED000497,CLI09118,SKU009,2025-08-22,3
PED000498,CLI05506,SKU048,2025-01-17,2
PED000499,CLI03957,SKU030,2025-09-24,3
PED000500,CLI09351,SKU024,2025-08-18,4
PED000501,CLI04424,SKU013,2025-12-31,5
PED000502,CLI00312,SKU002,2025-10-07,2
PED000503,CLI05767,SKU034,2025-03-08,2
PED000504,CLI06207,SKU016,2025-08-30,1
PED000505,CLI05381,SKU029,2025-01-23,1
PED000506,CLI00798,SKU014,2025-06-15,5
PED000507,CLI04051,SKU025,2025-11-10,3
PED000508,CLI05984,SKU046,2025-05-28,2
PED000509,CLI00401,SKU002,2025-02-08,2
PED000510,CLI02143,SKU028,2025-12-04,2
PED000511,CLI00076,SKU003,2025-01-01,2
PED000512,CLI04137,SKU022,2025-08-06,3
PED000513,CLI08697,SKU034,2025-12-30,4
PED000514,CLI01263,SKU014,2025-02-14,2
PED000515,CLI02950,SKU020,2025-08-28,2
PED000516,CLI00945,SKU017,2025-06-06,1
PED000517,CLI07473,SKU034,2025-06-27,3
PED000518,CLI07645,SKU042,2025-04-09,2
PED000519,CLI09936,SKU001,2025-02-09,1
PED000520,CLI06568,SKU023,2025-10-21,4
PED000521,CLI04496,SKU040,2025-02-21,3
PED000522,CLI05029,SKU005,2025-08-18,5
PED000523,CLI04550,SKU029,2025-06-29,2
PED000524,CLI03441,SKU014,2025-11-21,4
PED000525,CLI08547,SKU045,2025-10-28,1
PED000526,CLI07856,SKU020,2025-04-28,2
PED000527,CLI03235,SKU034,2025-08-11,2
PED000528,CLI07476,SKU026,2025-04-02,3
PED000529,CLI00805,SKU016,2025-04-06,2
PED000530,CLI05433,SKU033,2025-11-25,5
PED000531,CLI03465,SKU043,2025-09-05,5
PED000532,CLI09863,SKU041,2025-10-11,2
PED000533,CLI05210,SKU036,2025-10-20,2
PED000534,CLI02138,SKU024,2025-11-10,4
PED000535,CLI08722,SKU039,2025-10-20,1
PED000536,CLI06451,SKU036,2025-02-10,5
PED000537,CLI06917,SKU038,2025-12-09,2
PED000538,CLI07892,SKU050,2025-03-25,4
PED000539,CLI02633,SKU037,2025-11-17,2
PED000540,CLI07039,SKU025,2025-08-03,4
PED000541,CLI06176,SKU032,2025-04-07,3
PED000542,CLI08043,SKU050,2025-07-25,5
PED000543,CLI04498,SKU013,2025-10-21,3
PED000544,CLI08572,SKU010,2025-03-04,2
PED000545,CLI09825,SKU050,2025-04-01,3
PED000546,CLI00416,SKU012,2025-10-03,2
PED000547,CLI00161,SKU004,2025-04-27,4
PED000548,CLI06082,SKU018,2025-12-28,4
PED000549,CLI04448,SKU032,2025-04-09,5
PED000550,CLI07382,SKU005,2025-12-24,3
PED000551,CLI04966,SKU012,2025-01-18,4
PED000552,CLI06834,SKU048,2025-06-17,2
PED000553,CLI09076,SKU030,2025-06-25,3
PED000554,CLI03362,SKU027,2025-08-17,4
PED000555,CLI00721,SKU023,2025-05-07,5
PED000556,CLI07973,SKU003,2025-12-30,5
PED000557,CLI06532,SKU032,2025-12-22,5
