id_cliente,idade,renda_mensal,estado,canal_aquisicao
CLI00184,45,4741.13,PR,Orgânico
CLI00185,61,11616.91,PE,Orgânico
CLI00186,61,6739.74,BA,Google
CLI00187,37,5263.33,RJ,Google
CLI00188,47,12853.88,PR,Orgânico
CLI00189,28,2811.65,BA,Instagram
CLI00190,45,6885.47,PE,Google
CLI00191,42,8164.76,SP,Google
CLI00192,56,7292.64,BA,Google
CLI00193,50,5921.96,PE,Orgânico
CLI00194,18,3080.63,MG,TikTok
CLI00195,44,2605.81,RJ,Orgânico
CLI00196,69,8226.49,MG,Orgânico
CLI00197,30,2407.45,RS,Instagram
CLI00198,58,10733.64,PR,Orgânico
CLI00199,20,2205.13,SC,Instagram
CLI00200,56,9458.09,PR,Instagram
CLI00201,23,3067.57,PR,Google
CLI00202,25,6276.3,RJ,Instagram
CLI00203,44,1169.27,PE,Google
CLI00204,26,6029.31,MG,Instagram
CLI00205,54,7107.67,RJ,Google
CLI00206,50,14252.21,SP,Google
CLI00207,68,5296.1,MG,Google
CLI00208,59,10914.66,SP,Google
CLI00209,61,4904.91,PE,Orgânico
CLI00210,41,4859.85,SP,Google
CLI00211,32,8381.4,PE,Instagram
CLI00212,49,8164.93,BA,Google
CLI00213,49,6514.03,BA,Orgânico
CLI00214,41,8362.44,RJ,Google
CLI00215,58,8801.03,BA,Orgânico
CLI00216,69,13369.81,PR,Orgânico
CLI00217,66,5382.98,RS,Google
CLI00218,66,6332.26,PE,TikTok
CLI00219,69,8854.21,SC,Google
CLI00220,29,3159.4,RS,TikTok
CLI00221,56,7699.88,PR,Google
CLI00222,19,3062.49,PR,TikTok
CLI00223,20,3320.19,MG,Google
CLI00224,66,6206.15,RJ,Orgânico
CLI00225,54,2772.89,PE,Orgânico
CLI00226,66,4412.55,MG,Orgânico
CLI00227,34,7220.88,SC,Instagram
CLI00228,66,9794.5,RJ,Google
CLI00229,19,2615.48,RS,Instagram
CLI00230,19,5031.51,RS,Instagram
CLI00231,45,10276.14,RS,Orgânico
CLI00232,40,4919.43,PR,Google
CLI00233,54,11114.9,SP,Orgânico
CLI00234,49,5540.47,BA,Orgânico
CLI00235,50,6406.05,PR,Orgânico
CLI00236,18,2528.44,PR,TikTok
CLI00237,36,4683.65,RJ,Google
CLI00238,19,3653.47,PR,TikTok
CLI00239,61,3910.71,SC,Orgânico
CLI00240,43,6293.27,PE,Instagram
CLI00241,49,10881.68,PE,Instagram
CLI00242,23,2944.29,BA,TikTok
CLI00243,49,11944.81,PR,Google
CLI00244,21,2453.09,SP,TikTok
CLI00245,28,6903.09,RJ,Orgânico
CLI00246,34,6533.04,RS,TikTok
CLI00247,55,5955.8,SC,Orgânico
CLI00248,41,2876.24,RS,Google
CLI00249,22,3348.8,RJ,Instagram
CLI00250,69,8513.13,PE,Orgânico
CLI00251,51,6418.95,SP,Orgânico
CLI00252,23,3362.87,MG,TikTok
CLI00253,39,6717.47,PE,Orgânico
CLI00254,28,9560.91,SC,Orgânico
CLI00255,65,12347.93,PE,Google
CLI00256,33,7549.25,SP,Instagram
CLI00257,50,11113.42,RS,Google
CLI00258,26,8592.0,MG,Orgânico
CLI00259,23,2540.72,PE,Instagram
CLI00260,33,3983.04,RS,TikTok
CLI00261,46,12901.61,SP,Orgânico
CLI00262,20,2674.03,PE,Instagram
CLI00263,37,4943.1,MG,Google
CLI00264,53,8119.95,MG,Google
CLI00265,36,3464.84,PE,Orgânico
CLI00266,43,6321.95,RJ,Orgânico
CLI00267,20,3597.29,BA,Google
CLI00268,36,5182.66,PR,Google
CLI00269,37,7180.54,PE,Instagram
CLI00270,49,5606.34,PR,Orgânico
CLI00271,24,3414.48,SP,Instagram
CLI00272,69,7525.36,MG,Google
CLI00273,58,5188.58,PR,Instagram
CLI00274,50,8191.07,SP,Google
CLI00275,57,2186.08,SP,Google
CLI00276,56,6322.72,SC,Google
CLI00277,35,3883.7,RJ,TikTok
CLI00278,57,2684.74,RJ,Google
CLI00279,18,3218.41,PE,Orgânico
CLI00280,28,4977.79,RS,Instagram
CLI00281,45,11981.39,BA,Google
CLI00282,42,10184.2,MG,Google
CLI00283,67,6402.6,PR,Orgânico
CLI00284,40,4465.31,PE,Orgânico
CLI00285,48,6786.65,MG,Google
CLI00286,47,8805.39,PR,Google
CLI00287,59,8077.27,PR,Google
CLI00288,52,6587.0,PR,Orgânico
CLI00289,24,3247.92,RS,TikTok
CLI00290,33,9541.28,PR,Google
CLI00291,43,3732.11,PR,TikTok
CLI00292,65,6618.33,SC,Google
CLI00293,69,6972.46,SC,Orgânico
CLI00294,66,1106.26,PR,Orgânico
CLI00295,19,1958.73,RS,Instagram
CLI00296,18,1517.59,SP,Instagram
CLI00297,65,9889.16,SP,Orgânico
CLI00298,29,8599.26,PE,Instagram
CLI00299,22,3174.93,RJ,TikTok
CLI00300,54,10100.99,PR,Google
CLI00301,49,5220.43,SP,TikTok
CLI00302,26,4066.53,RJ,Instagram
CLI00303,58,8802.86,PE,Orgânico
CLI00304,52,7445.66,BA,Google
CLI00305,36,8394.85,SP,Google
CLI00306,65,9785.72,PE,Orgânico
CLI00307,33,6526.53,RJ,Orgânico
CLI00308,20,4384.94,MG,TikTok
CLI00309,37,3882.28,PE,Orgânico
CLI00310,41,1637.65,PE,Orgânico
CLI00311,50,7819.0,SP,Orgânico
CLI00312,41,7589.28,PR,Orgânico
CLI00313,69,3249.53,BA,Orgânico
CLI00314,28,4930.29,PR,TikTok
CLI00315,66,6791.98,SC,Orgânico
CLI00316,25,5833.34,MG,Orgânico
CLI00317,53,4096.02,MG,Orgânico
CLI00318,55,7347.4,SP,Orgânico
CLI00319,57,7068.55,RJ,Google
CLI00320,37,7515.47,BA,Orgânico
CLI00321,52,7646.1,RS,Google
CLI00322,65,6376.49,BA,Google
CLI00323,42,6752.65,BA,Orgânico
CLI00324,52,5344.02,SC,Google
CLI00325,42,6985.22,PE,Google
CLI00326,46,5574.83,MG,Google
CLI00327,35,11401.73,PE,Instagram
CLI00328,63,8891.87,MG,Instagram
CLI00329,35,7872.67,RS,TikTok
CLI00330,19,2137.19,PR,Google
CLI00331,52,7191.77,RS,Google
CLI00332,33,7878.64,PR,TikTok
CLI00333,58,12208.29,PE,Orgânico
CLI00334,53,10062.37,RJ,Google
CLI00335,50,9954.34,SP,Orgânico
CLI00336,21,2594.39,RJ,Instagram
CLI00337,50,6213.53,SP,Orgânico
CLI00338,31,7761.61,SC,Instagram
CLI00339,38,6358.86,PE,Orgânico
CLI00340,65,10669.85,RS,Instagram
CLI00341,37,4676.62,MG,Google
CLI00342,25,3718.84,BA,Instagram
CLI00343,24,5348.53,RJ,TikTok
CLI00344,20,2141.34,BA,TikTok
CLI00345,34,7085.73,SP,Instagram
CLI00346,50,7239.14,RS,Google
CLI00347,65,6299.04,SC,Google
CLI00348,29,5850.12,PE,TikTok
CLI00349,68,11397.87,RJ,Google
CLI00350,39,5390.04,BA,Orgânico
CLI00351,39,5593.74,MG,Google
CLI00352,63,8851.57,SC,Instagram
CLI00353,47,8459.02,PR,Google
CLI00354,55,8504.78,MG,Orgânico
CLI00355,55,7348.71,BA,Orgânico
CLI00356,62,12867.07,PR,Google
CLI00357,68,7599.02,SC,Orgânico
CLI00358,25,11341.35,SC,Google
CLI00359,44,6827.25,PR,Google
CLI00360,44,7980.25,PE,Google
CLI00361,51,7660.18,SP,Google
CLI00362,38,7246.02,RS,Instagram
CLI00363,47,8338.98,SC,Google
CLI00364,50,5203.61,RJ,Orgânico
CLI00365,45,5103.52,RS,Google
CLI00366,64,9267.45,RJ,Google
CLI00367,50,5277.86,SC,Google
CLI00368,22,3339.11,PE,TikTok
CLI00369,65,11171.55,RS,Google
CLI00370,36,6668.25,PR,Orgânico
CLI00371,21,2626.59,PR,Instagram
CLI00372,52,12229.96,MG,Orgânico
CLI00373,66,9643.63,PR,Google
CLI00374,34,5477.99,SP,TikTok
CLI00375,61,1197.32,SP,Google
CLI00376,45,8992.56,RJ,Orgânico
CLI00377,47,10526.47,SC,Orgânico
CLI00378,46,13100.87,RJ,Google
CLI00379,63,3608.54,SC,Orgânico
CLI00380,23,2376.78,RJ,Instagram
CLI00381,52,12933.14,SC,TikTok
CLI00382,58,1948.13,SC,Orgânico
CLI00383,54,9435.77,RJ,Google
CLI00384,41,9668.86,PE,Google
CLI00385,46,7018.98,MG,TikTok
CLI00386,66,6529.72,SP,Google
CLI00387,63,10003.56,PR,Orgânico
CLI00388,48,6155.05,BA,Google
CLI00389,52,7348.25,BA,Google
CLI00390,50,10437.3,SP,Google
CLI00391,69,13262.13,PR,Google
CLI00392,38,7832.66,SC,Google
CLI00393,49,8400.45,RS,Google
CLI00394,40,127.6,RJ,Google
CLI00395,50,4968.2,BA,Orgânico
CLI00396,20,1989.78,RJ,Instagram
CLI00397,35,6350.73,PR,Instagram
CLI00398,42,6480.98,RJ,Orgânico
CLI00399,59,7011.34,RJ,Orgânico
CLI00400,48,6052.13,PE,Orgânico
CLI00401,20,3821.52,PE,TikTok
CLI00402,57,7770.39,RJ,Google
CLI00403,63,4383.41,PE,Orgânico
CLI00404,41,3067.92,SP,Instagram
CLI00405,67,6119.05,RJ,Orgânico
CLI00406,49,10782.77,MG,Google
CLI00407,64,10525.57,PE,Orgânico
CLI00408,39,7126.81,PR,Orgânico
CLI00409,40,4540.01,SP,Google
CLI00410,19,3365.35,SP,TikTok
CLI00411,44,5095.15,BA,Instagram
CLI00412,59,13179.37,SC,Orgânico
CLI00413,19,4058.2,SC,TikTok
CLI00414,43,6204.76,BA,Google
CLI00415,34,4740.27,RJ,Orgânico
CLI00416,57,8792.07,SP,Orgânico
CLI00417,50,8120.96,RS,Orgânico
CLI00418,26,6339.65,BA,Instagram
CLI00419,60,5524.72,SP,Orgânico
CLI00420,65,13179.01,PE,Orgânico
CLI00421,56,4138.33,RJ,Google
CLI00422,46,10344.54,BA,Google
CLI00423,59,3784.51,PR,Orgânico
CLI00424,43,4043.85,SP,Orgânico
CLI00425,52,8279.93,SC,Orgânico
CLI00426,67,6539.91,RJ,Google
CLI00427,42,188.58,SP,Google
CLI00428,41,5105.55,PE,Orgânico
CLI00429,30,5954.71,RS,TikTok
CLI00430,24,3986.98,RS,TikTok
CLI00431,53,8089.02,SC,TikTok
CLI00432,62,5928.42,MG,TikTok
CLI00433,37,4757.68,PE,Google
CLI00434,18,2791.75,SP,Instagram
CLI00435,25,9020.57,BA,TikTok
CLI00436,63,6483.03,RS,Google
CLI00437,33,5123.18,RJ,TikTok
CLI00438,31,5895.03,SC,TikTok
CLI00439,29,7272.47,PE,Instagram
CLI00440,68,2467.35,SP,Orgânico
CLI00441,40,11295.77,SC,Orgânico
CLI00442,32,6907.87,RJ,TikTok
CLI00443,45,8346.98,PE,Orgânico
CLI00444,51,5754.31,SP,Google
CLI00445,19,2585.79,BA,TikTok
CLI00446,49,12497.86,BA,Instagram
CLI00447,40,6079.73,PE,Google
CLI00448,39,7566.94,RS,Google
CLI00449,68,12441.48,RJ,Orgânico
CLI00450,42,4385.24,PR,Instagram
CLI00451,39,9031.89,SP,Instagram
CLI00452,39,3147.03,SP,Google
CLI00453,66,9340.58,BA,Google
CLI00454,69,8697.98,BA,Orgânico
CLI00455,59,8676.69,PE,Orgânico
CLI00456,23,2358.78,RS,Instagram
CLI00457,32,5278.59,PE,Instagram
CLI00458,60,14587.92,SC,Google
CLI00459,54,7415.32,SP,Orgânico
CLI00460,50,7507.86,PR,Orgânico
CLI00461,25,7550.18,SC,Instagram
CLI00462,61,7844.31,SC,Orgânico
CLI00463,61,13588.66,MG,Orgânico
CLI00464,22,4339.89,SP,Instagram
CLI00465,56,6369.0,MG,Orgânico
CLI00466,21,1239.01,RS,TikTok
CLI00467,23,1400.89,PR,Orgânico
CLI00468,62,5092.64,SP,Google
CLI00469,49,8448.32,MG,Google
CLI00470,69,6516.64,MG,Orgânico
CLI00471,47,4866.2,PE,Google
CLI00472,64,9469.52,BA,Orgânico
CLI00473,52,7753.25,SC,Google
CLI00474,57,3297.35,MG,Orgânico
CLI00475,69,1774.56,MG,Google
CLI00476,33,5296.97,RS,Orgânico
CLI00477,30,4461.71,SP,Instagram
CLI00478,67,2393.27,PE,Google
CLI00479,59,11386.91,BA,Orgânico
CLI00480,47,7706.87,BA,Orgânico
CLI00481,36,4862.59,SP,Google
CLI00482,34,7932.56,SC,Instagram
CLI00483,36,3105.21,BA,Google
CLI00484,45,9232.93,SP,Google
CLI00485,43,9625.81,PR,Orgânico
CLI00486,54,5727.77,SC,Instagram
CLI00487,43,5526.93,PE,Orgânico
CLI00488,40,3568.31,PR,Google
CLI00489,26,3303.14,SP,Instagram
CLI00490,29,9094.62,PE,TikTok
CLI00491,18,2123.02,SP,Google
CLI00492,18,2945.7,SC,TikTok
CLI00493,64,7764.46,BA,TikTok
CLI00494,51,8692.31,MG,Instagram
CLI00495,49,10829.29,RJ,Orgânico
CLI00496,65,9779.07,RJ,Google
CLI00497,42,7336.67,SP,Orgânico
CLI00498,57,5456.8,PR,Orgânico
CLI00499,62,6474.16,SC,Google
CLI00500,18,2504.18,MG,TikTok
CLI00501,33,2411.11,RS,TikTok
CLI00502,56,5964.14,SP,Orgânico
CLI00503,22,3673.84,PE,TikTok
CLI00504,39,7752.09,PR,TikTok
CLI00505,46,9443.17,SP,Google
CLI00506,20,1789.98,RS,TikTok
CLI00507,29,6190.61,RJ,TikTok
CLI00508,43,7562.02,SP,Orgânico
CLI00509,33,4730.96,PR,TikTok
CLI00510,68,8608.34,RJ,Google
CLI00511,54,14901.35,RS,Google
CLI00512,39,5297.33,RS,Orgânico
CLI00513,46,10252.23,BA,Orgânico
CLI00514,31,4702.96,SP,Orgânico
CLI00515,45,7999.29,RJ,Google
CLI00516,22,3586.44,RS,TikTok
CLI00517,64,10513.67,SC,Google
CLI00518,66,5602.19,BA,Google
CLI00519,47,11117.27,PR,Instagram
CLI00520,63,6398.86,PR,Google
CLI00521,69,7507.71,SC,Google
CLI00522,22,3072.87,RS,Instagram
CLI00523,29,6617.35,RS,Instagram
CLI00524,33,6932.91,PR,Instagram
CLI00525,43,5805.62,PR,Orgânico
CLI00526,43,6038.52,SP,Google
CLI00527,65,11134.13,MG,Orgânico
CLI00528,38,8035.59,SP,Google
CLI00529,56,11648.38,SC,Orgânico
CLI00530,53,9510.24,SC,Google
CLI00531,50,4877.29,MG,Google
CLI00532,47,9346.55,SP,Orgânico
CLI00533,54,4931.1,SP,Orgânico
CLI00534,40,8433.06,SP,TikTok
CLI00535,27,4332.51,RJ,Instagram
CLI00536,22,1419.23,BA,Orgânico
CLI00537,53,11794.41,RS,TikTok
CLI00538,51,3254.04,RJ,Google
CLI00539,69,5751.98,PE,Orgânico
CLI00540,48,7242.74,SP,Orgânico
CLI00541,27,8787.85,RJ,Instagram
CLI00542,36,4363.05,SP,Orgânico
CLI00543,49,2878.08,SC,Google
CLI00544,18,3524.71,SP,Instagram
CLI00545,22,3771.13,RJ,TikTok
CLI00546,62,6217.42,PE,Google
CLI00547,21,2383.04,MG,TikTok
CLI00548,33,8376.95,PE,Orgânico
CLI00549,41,4691.32,SC,Google
CLI00550,33,7173.03,PR,TikTok
CLI00551,19,3085.65,PE,TikTok
CLI00552,66,6707.97,PE,Google
CLI00553,45,7501.05,MG,Orgânico
CLI00554,49,8725.87,PE,Orgânico
CLI00555,44,5835.71,MG,Orgânico
CLI00556,37,9629.3,RS,Orgânico
CLI00557,41,6201.61,PR,Google
CLI00558,29,9309.34,SC,Instagram
CLI00559,67,10783.15,RS,Google
CLI00560,52,8600.1,BA,Google
CLI00561,50,8804.88,BA,Google
CLI00562,50,6307.07,PE,Google
CLI00563,68,9500.55,BA,Orgânico
CLI00564,60,10559.5,PR,Google
CLI00565,54,8169.49,SC,Orgânico
CLI00566,29,2021.93,SC,Instagram
CLI00567,20,3255.97,RS,Instagram
CLI00568,18,1874.45,BA,TikTok
CLI00569,50,4476.94,SC,Orgânico
CLI00570,57,10639.54,MG,Instagram
CLI00571,27,5502.55,SC,Instagram
CLI00572,60,3998.24,RS,Google
CLI00573,61,6100.44,PR,Orgânico
CLI00574,46,8797.5,PE,Orgânico
CLI00575,30,5910.74,MG,Instagram
CLI00576,29,5668.84,SC,Instagram
CLI00577,48,7457.33,RJ,Google
CLI00578,63,7273.28,RJ,Google
CLI00579,19,2970.73,PE,Instagram
CLI00580,68,10057.73,SC,Google
CLI00581,67,7026.27,RJ,Google
CLI00582,52,14291.04,SP,Google
CLI00583,40,6276.45,BA,Google
CLI00584,34,9065.96,RS,Instagram
CLI00585,43,7743.99,MG,Orgânico
CLI00586,25,4785.85,PE,Orgânico
CLI00587,46,5937.13,PE,Google
CLI00588,43,4240.65,SP,Instagram
CLI00589,27,7102.57,MG,Instagram
CLI00590,43,3999.72,PR,TikTok
CLI00591,51,12437.38,PE,Google
CLI00592,68,10223.47,RJ,Orgânico
CLI00593,58,6077.67,RJ,Google
CLI00594,24,4309.39,RS,Instagram
CLI00595,21,2853.36,RJ,TikTok
CLI00596,67,3818.59,SC,TikTok
CLI00597,62,4931.67,MG,Google
CLI00598,28,2629.02,SC,TikTok
CLI00599,46,8106.81,RJ,Google
CLI00600,53,7843.41,BA,Orgânico
CLI00601,42,3198.66,PR,Orgânico
CLI00602,38,5029.78,RJ,Orgânico
CLI00603,53,9152.77,BA,Google
CLI00604,27,5442.64,BA,TikTok
CLI00605,54,6557.14,RS,Google
CLI00606,26,11748.17,SC,Orgânico
CLI00607,41,6532.36,RJ,Orgânico
CLI00608,52,11987.77,BA,TikTok
CLI00609,66,9867.45,SP,Orgânico
CLI00610,52,14023.96,SP,Google
CLI00611,65,7129.65,SC,Google
CLI00612,53,5502.19,SP,Google
CLI00613,35,3859.49,MG,Instagram
CLI00614,66,4991.17,BA,Orgânico
CLI00615,56,8365.4,RS,Google
CLI00616,49,8899.49,MG,Orgânico
CLI00617,41,8206.17,RS,Orgânico
CLI00618,40,5688.49,PE,Orgânico
CLI00619,49,8399.46,BA,Google
CLI00620,54,13208.97,RS,Orgânico
CLI00621,29,9325.55,SC,TikTok
CLI00622,66,10767.53,SP,Orgânico
CLI00623,30,3867.27,MG,Instagram
CLI00624,40,5866.08,PE,Orgânico
CLI00625,42,6555.05,SP,Orgânico
CLI00626,52,14248.43,RJ,Orgânico
CLI00627,58,6404.53,RS,Orgânico
CLI00628,47,6149.75,SP,Instagram
CLI00629,34,8005.62,SP,Instagram
CLI00630,66,9651.21,SC,Google
CLI00631,37,5341.12,PE,Google
CLI00632,65,13323.26,PE,Google
CLI00633,42,6716.47,BA,Google
CLI00634,39,9767.62,RJ,Orgânico
CLI00635,30,5046.05,BA,Orgânico
CLI00636,36,7373.69,MG,Instagram
CLI00637,66,7587.47,RS,Google
CLI00638,53,4718.03,RS,Google
CLI00639,29,6013.85,RS,TikTok
CLI00640,58,7905.31,MG,Orgânico
CLI00641,36,1436.68,PE,Instagram
CLI00642,29,3776.3,RS,TikTok
CLI00643,26,5219.39,SP,Instagram
CLI00644,24,2510.69,PR,Orgânico
CLI00645,45,12102.58,PE,Orgânico
CLI00646,31,4961.95,PR,Orgânico
CLI00647,48,5826.15,PE,TikTok
CLI00648,69,8542.65,RS,Google
CLI00649,36,8716.71,MG,Google
CLI00650,64,11310.49,SP,Orgânico
CLI00651,33,7212.3,SP,Instagram
CLI00652,22,3168.4,BA,TikTok
CLI00653,52,8910.21,BA,Orgânico
CLI00654,29,9894.61,PE,TikTok
CLI00655,42,8243.9,RJ,Orgânico
CLI00656,69,7530.87,SC,Google
CLI00657,38,5888.82,PE,Google
CLI00658,53,9375.65,PR,Orgânico
CLI00659,40,4475.68,RS,Orgânico
CLI00660,33,1381.59,SP,TikTok
CLI00661,56,7296.4,MG,Orgânico
CLI00662,62,13902.1,PR,Orgânico
CLI00663,59,5542.26,SC,Google
CLI00664,56,11521.78,SP,Orgânico
CLI00665,31,5732.65,PR,Instagram
CLI00666,48,8136.4,SP,Google
CLI00667,22,2606.43,RS,Instagram
CLI00668,52,9538.46,SC,Google
CLI00669,40,2485.15,RJ,Google
CLI00670,46,5422.69,PR,Google
CLI00671,60,6023.59,SC,Google
